1,4,6,,,67,85,92,198
10313,HgBa2CuO4,Hg1Ba2Cu1O4,,_chemical_formula_structural 'Hg Ba2 Cu O4',Hg1201,K,96,"Phys.Rev.B, 50(1994)4262"
32205,HgBa2CuOz,Hg1Ba2Cu1O4,,_chemical_formula_structural 'Hg Ba2 Cu O4',Hg1201,K,61,"Phys.Rev.Lett.,80(1998)385-388"
32206,HgBa2CuOzF0.1,Hg1Ba2Cu1O4,,_chemical_formula_structural 'Hg Ba2 Cu O4',Hg1201,K,97,"Phys.Rev.Lett.,80(1998)385-388"
32207,HgBa2CuOzF0.3,Hg1Ba2Cu1O4,,_chemical_formula_structural 'Hg Ba2 Cu O4',Hg1201,K,97,"Phys.Rev.Lett.,80(1998)385-388"
32208,HgBa2CuOzF0.5,Hg1Ba2Cu1O4,,_chemical_formula_structural 'Hg Ba2 Cu O4',Hg1201,K,96,"Phys.Rev.Lett.,80(1998)385-388"
32209,HgBa2CuOzF0.4,Hg1Ba2Cu1O4,,,Hg1201,K,80,"Phys.Rev.Lett.,80(1998)385-388"
32210,HgBa2CuOzF0.3,Hg1Ba2Cu1O4,,,Hg1201,K,80,"Phys.Rev.Lett.,80(1998)385-388"
6090,HgBa2CuO4,Hg1Ba2Cu1O4.01,data_85393-ICSD,_chemical_formula_structural 'Hg Ba2 Cu O4.01',Hg1201,K,68,"Physica.C,255(1995)173-179"
9547,HgBa2CuO4,Hg1Ba2Cu1O4.01,,,Hg1201,K,61,"Phys.Rev.B,61(2000)14370-14373"
20232,HgBa2CuO4,Hg1Ba2Cu1O4.01,,,Hg1201,K,61,preprint JINR E14-97-234(1997)
9026,,Hg1Ba2Cu1O4.02,,,Hg1201,K,72,"Physica C, 282-287 (1997)1381-1382"
6932,HgBa2CuOz,Hg1Ba2Cu1O4.025,,,Hg1201,K,20,"Physica.C,265(1996)13-18"
6475,HgBa2CuO4,Hg1Ba2Cu1O4.03,,,Hg1201,K,49.9,"Physica.C,251(1995)216-218"
